Time,Total Requests,Average Throughput,Average Latency,CPU Usage %,Memory Usage %
1711816216.629792,3,0.5239214514545262,0.0018140474955240886,1.2867315000000001,57.8125
1711816219.378978,4,0.27416507620177766,0.002133786678314209,1.2867315000000001,57.8125
1711816226.7415278,5,0.27385628204739965,0.002275228500366211,1.2561134999999999,57.7880859375
1711816230.2312677,6,0.25222990141546503,0.0023094813028971353,1.2561134999999999,57.7880859375
1711816237.7851388,7,0.2505467031525704,0.0024437904357910156,1.2561134999999999,57.7880859375
1711816247.1947312,8,0.22380481536600574,0.0027286410331726074,1.326934,57.8125
1711816248.1163495,9,0.2005329329184307,0.002730502022637261,1.326934,57.8125
1711816251.4362276,10,0.22025724475658234,0.0027470111846923826,1.326934,57.8125
1711816253.4032338,11,0.21897964344112897,0.002732406963001598,1.326934,57.8125
1711816254.2312853,12,0.23502467970180532,0.002593358357747396,1.326934,57.8125
1711816261.065813,16,0.28541836595223724,0.0024076104164123535,1.329397,57.8125
1711816264.7465618,18,0.29866054685572424,0.002336356374952528,1.329397,57.8125
1711816272.6683152,21,0.32226421322224547,0.0022429625193277993,1.3689890000000002,57.8857421875
1711816273.988663,22,0.31066346810765355,0.0021942962299693713,1.3689890000000002,57.8857421875
1711816278.7545989,25,0.3307628399057902,0.002193412780761719,1.3689890000000002,57.8857421875
1711816283.9484222,29,0.3590116211973414,0.0022018120206635573,1.3689890000000002,57.8857421875
1711816292.2145922,31,0.34816609290662587,0.18917837450581212,1.256208,58.3251953125
1711816294.2748096,32,0.35125837446251545,0.18335716426372528,1.256208,58.3251953125
1711816298.2814002,36,0.37839306650827154,0.16317670875125462,1.256208,58.3251953125
1711816306.8054643,39,0.38985929367538147,0.15074605819506523,1.3175905,58.349609375
1711816309.6944995,41,0.3848967845719041,0.14351833157423066,1.3175905,58.349609375
1711816314.8647966,45,0.4069232152890658,0.1308856063418918,1.3175905,58.349609375
1711816319.8239822,49,0.4200097039557382,0.12038394869590292,1.3196864999999998,58.3740234375
1711816330.0970967,51,0.4236525764020504,0.11573561967587938,1.3196864999999998,58.3740234375
1711816330.6810846,52,0.4090053844571861,0.1135518138225262,1.277225,58.3740234375
1711816333.5942328,54,0.41401012576549884,0.10944070639433684,1.277225,58.3740234375
1711816338.9186966,59,0.43457018518139623,0.10039161019406076,1.277225,58.3740234375
1711816350.2715962,64,0.4553096158645962,0.09275151044130325,1.306523,58.3984375
1711816351.6825714,65,0.43767031158185155,0.09136672019958496,1.306523,58.3984375
1711816353.3476546,66,0.4394753899164816,0.09000228029308897,1.306523,58.3984375
1711816358.7748168,71,0.4563214268164717,0.08381234088414152,1.306523,58.3984375
1711816363.4689062,74,0.4616450101633639,0.08858596634220432,1.2972810000000001,58.3984375
1711816369.5877104,78,0.46870429595065954,0.09742075663346511,1.2972810000000001,58.3984375
1711816374.3644695,81,0.47315890112771863,0.09387901682912568,1.2972810000000001,58.3984375
1711816378.6129735,84,0.47880604948257927,0.09058214936937604,1.3531275,59.1796875
1711816384.9146886,88,0.48449140333779633,0.08656931736252525,1.3531275,59.1796875
1711816389.2444384,91,0.48907008595179646,0.08378365275624035,1.3531275,59.1796875
1711816393.336427,94,0.4942988344968449,0.08118528254488681,1.376343,58.3984375
1711816398.2470753,98,0.5023528388987158,0.07794786472709811,1.376343,58.3984375
1711816404.918924,103,0.5105475428973143,0.07425307301641668,1.376343,58.3984375
1711816409.0378056,106,0.5148709812170588,0.07221126556396484,1.54462,60.5224609375
1711816413.6832395,109,0.5177880903125388,0.07028620614918,1.54462,60.5224609375
1711816418.82891,114,0.5285828685321271,0.06728826907643101,1.54462,60.5224609375
1711816423.6465013,117,0.5306714795439668,0.06563667150644156,1.3242155,60.5712890625
1711816429.0452738,121,0.5357144918148412,0.06354724671229843,1.3242155,60.5712890625

